2023-04-04 03:51:30,409 INFO    StreamThr :44488 [internal.py:wandb_internal():87] W&B internal server running at pid: 44488, started at: 2023-04-04 03:51:30.408823
2023-04-04 03:51:30,416 DEBUG   HandlerThread:44488 [handler.py:handle_request():144] handle_request: status
2023-04-04 03:51:30,422 INFO    WriterThread:44488 [datastore.py:open_for_write():85] open: /home/shubham/Academics/Thesis/openfl/openfl-tutorials/interactive_api/PyTorch_MedMNIST_2D/wandb/run-20230404_035130-5jex95ef/run-5jex95ef.wandb
2023-04-04 03:51:30,424 DEBUG   SenderThread:44488 [sender.py:send():336] send: header
2023-04-04 03:51:30,445 DEBUG   SenderThread:44488 [sender.py:send():336] send: run
2023-04-04 03:51:31,406 INFO    SenderThread:44488 [dir_watcher.py:__init__():219] watching files in: /home/shubham/Academics/Thesis/openfl/openfl-tutorials/interactive_api/PyTorch_MedMNIST_2D/wandb/run-20230404_035130-5jex95ef/files
2023-04-04 03:51:31,407 INFO    SenderThread:44488 [sender.py:_start_run_threads():1078] run started: 5jex95ef with start time 1680560490.411304
2023-04-04 03:51:31,407 DEBUG   SenderThread:44488 [sender.py:send_request():363] send_request: summary_record
2023-04-04 03:51:31,408 INFO    SenderThread:44488 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-04-04 03:51:31,409 DEBUG   HandlerThread:44488 [handler.py:handle_request():144] handle_request: check_version
2023-04-04 03:51:31,410 DEBUG   SenderThread:44488 [sender.py:send_request():363] send_request: check_version
2023-04-04 03:51:31,746 DEBUG   HandlerThread:44488 [handler.py:handle_request():144] handle_request: run_start
2023-04-04 03:51:32,435 INFO    Thread-18 :44488 [dir_watcher.py:_on_file_created():278] file/dir created: /home/shubham/Academics/Thesis/openfl/openfl-tutorials/interactive_api/PyTorch_MedMNIST_2D/wandb/run-20230404_035130-5jex95ef/files/wandb-summary.json
2023-04-04 03:51:33,470 DEBUG   HandlerThread:44488 [system_info.py:__init__():31] System info init
2023-04-04 03:51:33,470 DEBUG   HandlerThread:44488 [system_info.py:__init__():46] System info init done
2023-04-04 03:51:33,470 INFO    HandlerThread:44488 [system_monitor.py:start():183] Starting system monitor
2023-04-04 03:51:33,471 INFO    HandlerThread:44488 [system_monitor.py:probe():204] Collecting system info
2023-04-04 03:51:33,472 INFO    SystemMonitor:44488 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-04-04 03:51:33,474 INFO    SystemMonitor:44488 [interfaces.py:start():187] Started cpu monitoring
2023-04-04 03:51:33,476 INFO    SystemMonitor:44488 [interfaces.py:start():187] Started disk monitoring
2023-04-04 03:51:33,480 INFO    SystemMonitor:44488 [interfaces.py:start():187] Started gpu monitoring
2023-04-04 03:51:33,482 INFO    SystemMonitor:44488 [interfaces.py:start():187] Started memory monitoring
